kB totales       5031372   57768   44236
kB totales       5031372   57768   44244
kB totales       5031372   57768   44244
kB totales       5031372   57772   44252
kB totales       5031372   57772   44252
kB totales       5031372   57772   44252
kB totales       5031372   57776   44256
kB totales       5100040   64068   50488
kB totales       7501788   79056   65428
kB totales       7501788   79056   65428
kB totales       7501788   79076   65448
kB totales       7501788   78888   65260
kB totales       7501788   78916   65288
kB totales       7501788   79048   65420
kB totales       7501788   79052   65424
kB totales       7501788   79052   65424
kB totales       7501788   79052   65424
kB totales       7501788   79052   65424
kB totales       7501788   79176   65548
kB totales       7501788   79176   65548
kB totales       7501788   79176   65548
kB totales       7501788   79176   65548
kB totales       7501788   79180   65552
kB totales       7501788   79304   65676
kB totales       7501788   79304   65676
kB totales       7501788   79304   65676
kB totales       7501788   79304   65676
kB totales       7501788   79304   65676
kB totales       7501788   79332   65704
kB totales       7501788   79332   65704
kB totales       7501788   79348   65720
kB totales       7501788   79348   65720
kB totales       7501788   79376   65748
kB totales       7501788   79376   65748
kB totales       7501788   79384   65756
kB totales       7501788   79384   65756
kB totales       7501788   79384   65744
kB totales       7501788   79400   65768
kB totales       7760744   97972   84324
kB totales       8219628  249944  235800
