# time,value,value,avg
5,0,0,0
10,0,0,0
15,0,0,0
20,0,0,0
25,66,61,64
30,87,71,79
35,151,124,138
40,200,152,176
45,240,184,212
50,268,250,259
55,332,289,311
60,393,337,365
65,457,386,422
70,469,328,399
75,470,396,433
80,545,441,493
85,490,430,460
90,485,428,457
95,463,477,470
100,457,452,455
105,486,489,488
110,501,428,465
115,465,428,447
120,433,424,429
125,526,424,475
130,456,438,447
135,487,426,457
140,497,443,470
145,475,405,440
150,486,426,456
155,485,396,441
160,465,419,442
165,464,418,441
170,483,430,457
175,487,445,466
180,496,447,472
185,493,455,474
190,506,421,464
195,506,434,470
200,470,483,477
205,462,489,476
210,493,523,508
215,516,433,475
220,474,422,448
225,474,441,458
230,480,497,489
235,453,451,452
240,458,447,453
245,468,445,457
250,530,480,505
255,416,459,438
260,480,430,455
265,508,462,485
270,497,440,469
275,518,449,484
280,510,433,472
285,501,432,467
290,444,466,455
295,469,424,447
300,432,454,443
305,488,446,467
310,493,440,467
315,455,453,454
320,447,440,444
325,466,431,449
330,513,419,466
335,461,441,451
340,507,470,489
345,507,429,468
350,523,446,485
355,491,435,463
360,510,444,477
365,493,476,485
370,481,438,460
375,490,475,483
380,447,473,460
385,443,455,449
390,432,453,443
395,476,427,452
400,446,378,412
405,484,432,458
410,480,412,446
415,497,466,482
420,452,407,430
425,479,465,472
430,483,436,460
435,557,439,498
440,513,462,488
445,530,475,503
450,499,462,481
455,525,411,468
460,529,430,480
465,469,448,459
470,533,500,517
475,486,493,490
480,531,479,505
485,505,523,514
490,499,466,483
495,514,467,491
500,510,432,471
505,522,424,473
510,490,479,485
515,538,446,492
520,486,506,496
525,545,472,509
530,473,495,484
535,465,457,461
540,523,467,495
545,509,468,489
550,469,454,462
555,495,450,473
560,499,416,458
565,511,430,471
570,472,432,452
575,542,480,511
580,488,428,458
585,493,449,471
590,502,436,469
595,495,481,488
600,490,458,474
605,529,444,487
610,509,411,460
615,554,469,512
620,501,478,490
625,501,452,477
630,484,485,485
635,499,496,498
640,438,503,471
645,482,447,465
650,500,470,485
655,527,517,522
660,499,497,498
665,478,497,488
670,472,508,490
675,440,471,456
680,517,455,486
685,477,432,455
690,485,458,472
695,505,434,470
700,522,420,471
705,457,407,432
710,494,443,469
715,509,414,462
720,560,479,520
725,511,439,475
730,486,418,452
735,515,419,467
740,478,413,446
745,468,404,436
750,507,402,455
755,497,445,471
760,473,427,450
765,520,403,462
770,518,415,467
775,527,446,487
780,509,475,492
785,506,473,490
790,489,487,488
795,464,493,479
800,535,475,505
805,526,481,504
810,529,462,496
815,497,461,479
820,530,480,505
825,480,445,463
830,554,450,502
835,468,488,478
840,438,490,464
845,451,451,451
850,492,476,484
855,445,452,449
860,561,454,508
865,537,412,475
870,537,455,496
875,450,421,436
880,438,498,468
885,459,488,474
890,520,455,488
895,558,487,523
900,508,493,501
905,545,513,529
910,526,460,493
915,551,441,496
920,551,449,500
925,458,440,449
930,555,457,506
935,529,469,499
940,492,487,490
945,496,486,491
950,533,451,492
955,443,458,451
960,471,493,482
965,517,444,481
970,525,488,507
975,466,454,460
980,518,464,491
985,499,489,494
990,488,491,490
995,473,490,482
1000,503,483,493
1005,475,463,469
1010,526,437,482
1015,508,463,486
1020,477,486,482
1025,490,456,473
1030,530,462,496
1035,563,467,515
1040,555,484,520
1045,549,505,527
1050,581,456,519
1055,499,444,472
1060,564,444,504
1065,548,453,501
1070,465,453,459
1075,552,455,504
1080,498,423,461
1085,506,467,487
1090,533,471,502
1095,492,427,460
1100,477,473,475
1105,457,457,457
1110,504,483,494
1115,510,448,479
1120,486,476,481
1125,510,466,488
1130,482,529,506
1135,497,510,504
1140,529,491,510
1145,539,506,523
1150,474,518,496
1155,477,519,498
1160,487,507,497
1165,477,492,485
1170,515,514,515
1175,534,441,488
1180,471,440,456
1185,537,481,509
1190,522,474,498
1195,546,419,483
1200,523,426,475
1205,527,480,504
1210,499,416,458
1215,519,468,494
1220,509,441,475
1225,507,439,473
1230,533,454,494
1235,554,395,475
1240,543,461,502
1245,508,492,500
1250,505,443,474
