# time,value,value
5,0,0
10,0,0
15,0,0
20,0,0
25,5403,5.403
30,10082,10.082
35,16776,16.776
40,23153,23.153
45,29186,29.186
50,34644,34.644
55,40179,40.179
60,45514,45.514
65,50504,50.504
70,54602,54.602
75,58073,58.073
80,61468,61.468
85,63968,63.968
90,66249,66.249
95,68105,68.105
100,69933,69.933
105,71643,71.643
110,73154,73.154
115,74549,74.549
120,75848,75.848
125,77386,77.386
130,78315,78.315
135,79292,79.292
140,80286,80.286
145,81236,81.236
150,82208,82.208
155,83178,83.178
160,84108,84.108
165,85036,85.036
170,86002,86.002
175,86940,86.94
180,87451,87.451
185,87945,87.945
190,88453,88.453
195,88959,88.959
200,89429,89.429
205,89892,89.892
210,90385,90.385
215,90901,90.901
220,91376,91.376
225,91849,91.849
230,92329,92.329
235,92782,92.782
240,93240,93.24
245,93708,93.708
250,94238,94.238
255,94654,94.654
260,95135,95.135
265,95642,95.642
270,96139,96.139
275,96657,96.657
280,97167,97.167
285,97668,97.668
290,98112,98.112
295,98581,98.581
300,99013,99.013
305,99501,99.501
310,99994,99.994
315,100449,100.449
320,100896,100.896
325,101362,101.362
330,101875,101.875
335,102336,102.336
340,102843,102.843
345,103350,103.35
350,103721,103.721
355,103750,103.75
360,103758,103.758
365,103762,103.762
370,103765,103.765
375,103771,103.771
380,103774,103.774
385,103774,103.774
390,103774,103.774
395,103774,103.774
400,103776,103.776
405,103776,103.776
410,103780,103.78
415,103780,103.78
420,103780,103.78
425,103782,103.782
430,103782,103.782
435,103782,103.782
440,103782,103.782
445,103782,103.782
450,103782,103.782
455,103782,103.782
460,103782,103.782
465,103783,103.783
470,103783,103.783
475,103783,103.783
480,103783,103.783
485,103783,103.783
490,103783,103.783
495,103783,103.783
500,103783,103.783
505,103783,103.783
510,103783,103.783
515,103783,103.783
520,103783,103.783
525,103783,103.783
530,103783,103.783
535,103783,103.783
540,103783,103.783
545,103783,103.783
550,103783,103.783
555,103783,103.783
560,103783,103.783
565,103783,103.783
570,103783,103.783
575,103783,103.783
580,103783,103.783
585,103783,103.783
590,103783,103.783
595,103783,103.783
600,103783,103.783
605,103783,103.783
610,103783,103.783
615,103783,103.783
620,103783,103.783
625,103783,103.783
630,103783,103.783
635,103783,103.783
640,103783,103.783
645,103783,103.783
650,103783,103.783
655,103783,103.783
660,103783,103.783
665,103783,103.783
670,103783,103.783
675,103783,103.783
680,103783,103.783
685,103783,103.783
690,103783,103.783
695,103783,103.783
700,103783,103.783
705,103783,103.783
710,103783,103.783
715,103783,103.783
720,103783,103.783
725,103783,103.783
730,103783,103.783
735,103783,103.783
740,103783,103.783
745,103783,103.783
750,103783,103.783
755,103783,103.783
760,103783,103.783
765,103783,103.783
770,103783,103.783
775,103783,103.783
780,103783,103.783
785,103783,103.783
790,103783,103.783
795,103783,103.783
800,103783,103.783
805,103783,103.783
810,103783,103.783
815,103783,103.783
820,103783,103.783
825,103783,103.783
830,103783,103.783
835,103783,103.783
840,103783,103.783
845,103783,103.783
850,103783,103.783
855,103783,103.783
860,103783,103.783
865,103783,103.783
870,103783,103.783
875,103783,103.783
880,103783,103.783
885,103783,103.783
890,103783,103.783
895,103783,103.783
900,103783,103.783
905,103783,103.783
910,103783,103.783
915,103783,103.783
920,103783,103.783
925,103783,103.783
930,103783,103.783
935,103783,103.783
940,103783,103.783
945,103783,103.783
950,103783,103.783
955,103783,103.783
960,103783,103.783
965,103783,103.783
970,103783,103.783
975,103783,103.783
980,103783,103.783
985,103783,103.783
990,103783,103.783
995,103783,103.783
1000,103783,103.783
1005,103783,103.783
1010,103783,103.783
1015,103783,103.783
1020,103783,103.783
1025,103783,103.783
1030,103783,103.783
1035,103783,103.783
1040,103783,103.783
1045,103783,103.783
1050,103783,103.783
1055,103783,103.783
1060,103783,103.783
1065,103783,103.783
1070,103783,103.783
1075,103783,103.783
1080,103783,103.783
1085,103783,103.783
1090,103783,103.783
1095,103783,103.783
1100,103783,103.783
1105,103783,103.783
1110,103783,103.783
1115,103783,103.783
1120,103783,103.783
1125,103783,103.783
1130,103783,103.783
1135,103783,103.783
1140,103783,103.783
1145,103783,103.783
1150,103783,103.783
1155,103783,103.783
1160,103783,103.783
1165,103783,103.783
1170,103783,103.783
1175,103783,103.783
1180,103783,103.783
1185,103783,103.783
1190,103783,103.783
1195,103783,103.783
1200,103783,103.783
1205,103783,103.783
1210,103783,103.783
1215,103783,103.783
1220,103783,103.783
1225,103783,103.783
1230,103783,103.783
1235,103783,103.783
1240,103783,103.783
1245,103783,103.783
1250,103783,103.783
1255,103783,103.783
1260,103783,103.783
1265,103783,103.783
1270,103783,103.783
1275,103783,103.783
1280,103783,103.783
1285,103783,103.783
1290,103783,103.783
1295,103783,103.783
1300,103783,103.783
1305,103783,103.783
1310,103783,103.783
1315,103783,103.783
1320,103783,103.783
1325,103783,103.783
1330,103783,103.783
1335,103783,103.783
1340,103783,103.783
1345,103783,103.783
1350,103783,103.783
1355,103783,103.783
1360,103783,103.783
1365,103783,103.783
1370,103783,103.783
1375,103783,103.783
1380,103783,103.783
1385,103783,103.783
1390,103783,103.783
1395,103783,103.783
1400,103783,103.783
1405,103783,103.783
1410,103783,103.783
1415,103783,103.783
1420,103783,103.783
1425,103783,103.783
1430,103783,103.783
1435,103783,103.783
1440,103783,103.783
1445,103783,103.783
1450,103783,103.783
1455,103783,103.783
1460,103783,103.783
1465,103783,103.783
1470,103783,103.783
1475,103783,103.783
1480,103783,103.783
1485,103783,103.783
1490,103783,103.783
1495,103783,103.783
1500,103783,103.783
1505,103783,103.783
1510,103783,103.783
1515,103783,103.783
1520,103783,103.783
1525,103783,103.783
1530,103783,103.783
1535,103783,103.783
1540,103783,103.783
1545,103783,103.783
1550,103783,103.783
1555,103783,103.783
1560,103783,103.783
1565,103783,103.783
1570,103783,103.783
1575,103783,103.783
1580,103783,103.783
1585,103783,103.783
1590,103783,103.783
1595,103783,103.783
1600,103783,103.783
1605,103783,103.783
1610,103783,103.783
1615,103783,103.783
1620,103783,103.783
1625,103783,103.783
1630,103783,103.783
1635,103783,103.783
1640,103783,103.783
1645,103783,103.783
1650,103783,103.783
1655,103783,103.783
1660,103783,103.783
1665,103783,103.783
1670,103783,103.783
1675,103783,103.783
1680,103783,103.783
1685,103783,103.783
1690,103783,103.783
1695,103783,103.783
1700,103783,103.783
