"Time";"CantTweet"
"0";"0.1"
"2";"0.6"
"4";"1.3"
"6";"1.5"
"8";"1.7000000000000002"
"10";"2.0"
"12";"2.0"
"14";"2.0"
"16";"2.0"
"18";"2.1"
"20";"2.3"
"22";"2.4000000000000004"
"24";"2.5"
"26";"2.5"
"28";"2.5"
"30";"2.4"
"32";"2.4"
"34";"2.4"
"36";"2.4"
"38";"2.4"
"40";"2.4"
"42";"2.4"
"44";"2.4"
"46";"2.4"
"48";"2.4"
"50";"2.4"
"52";"2.4"
"54";"2.4"
"56";"2.5"
"58";"2.5"
"60";"2.5"
"62";"2.5"
"64";"2.5"
"66";"2.5"
"68";"2.5"
"70";"2.6"
"72";"2.6"
"74";"2.6"
"76";"2.6"
"78";"2.6"
"80";"2.6"
"82";"2.6"
"84";"2.7"
"86";"2.8"
"88";"2.8"
"90";"3.0999999999999996"
"92";"3.0999999999999996"
"94";"3.3"
"96";"3.3"
"98";"3.3"
"100";"3.3"
"102";"3.3"
"104";"3.3"
"106";"3.3"
"108";"3.3"
"110";"3.3"
"112";"3.3"
"114";"3.3"
"116";"3.3"
"118";"3.3"
"120";"3.3"
"122";"3.3"
"124";"3.3"
"126";"3.3"
"128";"3.3"
"130";"3.3"
"132";"3.3"
"134";"3.3"
"136";"3.3"
"138";"3.3"
"140";"3.3"
"142";"3.3"
"144";"3.3"
"146";"3.3"
"148";"3.3"
"150";"3.3"
"152";"3.3"
"154";"3.3"
"156";"3.3"
"158";"3.7"
"160";"3.7"
"162";"3.7"
"164";"3.7"
"166";"3.7"
"168";"3.7"
"170";"3.7"
"172";"3.7"
"174";"3.7"
"176";"3.7"
"178";"3.7"
"180";"3.7"
"182";"3.7"
"184";"3.7"
"186";"3.7"
"188";"3.7"
"190";"3.7"
"192";"3.7"
"194";"3.7"
"196";"3.7"
"198";"3.7"
"200";"3.7"
"202";"3.7"
"204";"3.7"
"206";"3.7"
"208";"3.7"
"210";"3.7"
"212";"3.7"
"214";"3.7"
"216";"3.7"
"218";"3.7"
"220";"3.7"
"222";"3.7"
"224";"3.7"
"226";"3.7"
"228";"3.7"
"230";"3.7"
"232";"3.7"
"234";"3.7"
"236";"3.7"
"238";"3.7"
"240";"3.7"
"242";"3.7"
"244";"3.7"
"246";"3.7"
"248";"3.7"
"250";"3.7"
"252";"3.7"
"254";"3.7"
"256";"3.7"
"258";"3.7"
"260";"3.7"
"262";"3.7"
"264";"3.7"
"266";"3.9000000000000004"
"268";"3.9000000000000004"
"270";"3.9000000000000004"
"272";"3.9000000000000004"
"274";"3.9000000000000004"
"276";"3.9000000000000004"
"278";"3.9000000000000004"
"280";"3.9000000000000004"
"282";"3.9000000000000004"
"284";"3.9000000000000004"
"286";"3.9000000000000004"
"288";"3.9000000000000004"
"290";"4.3"
"292";"4.3"
"294";"4.3"
"296";"4.3"
"298";"4.3"
"300";"4.3"
"302";"4.3"
"304";"4.7"
"306";"4.7"
"308";"4.7"
"310";"4.7"
"312";"4.7"
"314";"4.7"
"316";"4.7"
"318";"4.7"
"320";"4.7"
"322";"4.7"
"324";"4.7"
"326";"4.7"
"328";"4.7"
"330";"4.7"
"332";"4.8"
"334";"4.8"
"336";"4.8"
"338";"4.8"
"340";"4.8"
"342";"4.8"
"344";"4.8"
"346";"4.8"
"348";"4.8"
"350";"4.8"
"352";"4.8"
"354";"4.8"
"356";"4.8"
"358";"4.8"
"360";"4.8"
"362";"4.8"
"364";"4.8"
"366";"4.8"
"368";"4.8"
"370";"4.8"
"372";"4.8"
"374";"4.8"
"376";"4.8"
"378";"4.8"
"380";"4.8"
"382";"4.8"
"384";"4.8"
"386";"4.8"
"388";"4.8"
"390";"4.8"
"392";"4.8"
"394";"4.8"
"396";"4.8"
"398";"4.8"
"400";"4.8"
"402";"4.8"
"404";"4.8"
"406";"4.8"
"408";"4.8"
"410";"4.8"
"412";"4.8"
"414";"4.8"
"416";"4.8"
"418";"4.8"
"420";"4.8"
"422";"4.8"
"424";"4.8"
"426";"4.8"
"428";"4.8"
"430";"4.8"
"432";"4.8"
"434";"4.8"
"436";"4.8"
"438";"4.8"
"440";"4.8"
"442";"4.9"
"444";"4.9"
"446";"4.9"
"448";"4.9"
"450";"4.9"
"452";"4.9"
"454";"4.9"
"456";"4.9"
"458";"4.9"
"460";"5.5"
"462";"5.5"
"464";"5.5"
"466";"5.5"
"468";"5.5"
"470";"5.5"
"472";"5.5"
"474";"5.5"
"476";"5.5"
"478";"5.5"
"480";"5.8999999999999995"
"482";"5.8999999999999995"
"484";"5.8999999999999995"
"486";"5.8999999999999995"
"488";"5.8999999999999995"
"490";"5.8999999999999995"
"492";"5.8999999999999995"
"494";"5.8999999999999995"
"496";"5.8999999999999995"
"498";"5.8999999999999995"
"500";"5.8999999999999995"
"502";"5.8999999999999995"
"504";"6.7"
"506";"6.7"
"508";"6.7"
"510";"6.7"
"512";"6.7"
"514";"6.7"
"516";"6.7"
"518";"6.7"
"520";"7.6"
"522";"7.6"
"524";"7.7"
"526";"8.200000000000001"
"528";"8.200000000000001"
"530";"9.4"
"532";"9.4"
"534";"9.4"
"536";"9.4"
"538";"9.4"
"540";"9.4"
"542";"9.4"
"544";"9.4"
"546";"9.4"
"548";"9.4"
"550";"9.4"
"552";"9.4"
"554";"9.4"
"556";"9.4"
"558";"9.4"
"560";"9.4"
"562";"9.4"
"564";"9.4"
"566";"9.4"
"568";"9.4"
"570";"9.5"
"572";"9.5"
"574";"9.5"
"576";"9.5"
"578";"9.5"
"580";"9.5"
"582";"9.5"
"584";"9.5"
"586";"9.5"
"588";"9.5"
"590";"9.5"
"592";"9.5"
"594";"9.5"
"596";"9.5"
"598";"9.5"
"600";"9.5"
"602";"9.5"
"604";"9.5"
"606";"9.5"
"608";"9.5"
"610";"9.5"
"612";"9.5"
"614";"9.5"
"616";"9.5"
"618";"9.5"
"620";"9.5"
"622";"9.5"
"624";"9.5"
"626";"9.5"
"628";"9.5"
"630";"9.5"
"632";"9.5"
"634";"9.5"
"636";"9.5"
"638";"9.5"
"640";"9.5"
"642";"9.5"
"644";"9.5"
"646";"9.5"
"648";"9.5"
"650";"9.5"
"652";"9.5"
"654";"9.5"
"656";"9.5"
"658";"9.5"
"660";"9.5"
"662";"9.5"
"664";"9.5"
"666";"9.5"
"668";"9.5"
"670";"9.5"
"672";"9.5"
"674";"9.5"
"676";"9.5"
"678";"9.5"
"680";"9.5"
"682";"9.5"
"684";"9.5"
"686";"9.5"
"688";"9.5"
"690";"9.5"
"692";"9.5"
"694";"9.5"
"696";"9.5"
"698";"9.5"
"700";"9.5"
