"time","total"
"10","3"
"15","3"
"20","5"
"25","5"
"30","6"
"35","6"
"40","7"
"45","7"
"50","7"
"55","7"
"60","7"
"65","7"
"70","7"
"75","7"
"80","7"
"85","7"
"90","7"
"95","7"
"100","7"
"105","7"
"110","7"
"115","7"
"120","7"
"125","7"
"130","7"
"135","7"
"140","7"
"145","7"
"150","7"
"155","7"
"160","7"
"165","7"
"170","7"
"175","7"
"180","7"
"185","7"
"190","7"
"195","7"
"200","7"
"205","7"
"210","7"
"215","7"
"220","7"
"225","7"
"230","7"
"235","7"
"240","7"
"245","7"
"250","7"
"255","7"
"260","7"
"265","7"
"270","7"
"275","7"
"280","7"
"285","7"
"290","7"
"295","7"
"300","7"
"305","7"
"310","7"
"315","7"
"320","7"
"325","7"
"330","7"
"335","7"
"340","7"
"345","7"
"350","7"
"355","7"
"360","7"
"365","7"
"370","7"
"375","7"
"380","7"
"385","7"
"390","7"
"395","7"
"400","7"
"405","7"
"410","7"
"415","7"
"420","7"
"425","7"
"430","7"
"435","7"
"440","7"
"445","7"
"450","7"
"455","7"
"460","7"
"465","7"
"470","7"
"475","7"
"480","7"
"485","7"
"490","7"
"495","7"
"500","7"
"505","7"
"510","7"
"515","7"
"520","7"
"525","7"
"530","7"
"535","7"
"540","7"
"545","7"
"550","7"
"555","7"
"560","7"
"565","7"
"570","7"
"575","7"
"580","7"
"585","7"
"590","7"
"595","7"
"600","7"
"605","7"
"610","7"
"615","7"
"620","7"
"625","7"
"630","7"
"635","7"
"640","7"
"645","7"
"650","7"
"655","7"
"660","7"
"665","7"
"670","7"
"675","7"
"680","7"
"685","7"
"690","7"
"695","7"
"700","7"
"705","7"
"710","7"
"715","7"
"720","7"
"725","7"
"730","7"
"735","7"
"740","7"
"745","7"
"750","7"
"755","7"
"760","7"
"765","7"
"770","7"
"775","7"
"780","7"
"785","7"
"790","7"
"795","7"
"800","7"
"805","7"
"810","7"
"815","7"
"820","7"
"825","7"
"830","7"
"835","7"
"840","7"
"845","7"
"850","7"
"855","7"
"860","7"
"865","7"
"870","7"
"875","7"
"880","7"
"885","7"
"890","7"
"895","7"
"900","7"
