# time,count,1 min rate,mean rate,5 min rate,15 min rate
5,0,0.0,0.0,0.0,0.0
10,0,0.0,0.0,0.0,0.0
15,0,0.0,0.0,0.0,0.0
20,0,0.0,0.0,0.0,0.0
25,45,0.7196002683360904,1.7965637694651468,0.14875691560544257,0.049861367955929436
30,73,1.1098154857241715,2.4290783881357405,0.2388580386554463,0.08060997957134812
35,99,1.4368485828371726,2.824115039509594,0.32085850266104093,0.1089721784067377
40,130,1.8176891426055948,3.2453028813424325,0.4180321643890528,0.14271739834476713
45,161,2.1680793724848364,3.57300896338495,0.5135996867618706,0.1762756646352317
50,188,2.410498361055241,3.755302779784491,0.5910590707496133,0.2041078610346517
55,221,2.7454724170084788,4.013469896670245,0.690378128381901,0.23954207562880586
60,254,3.0536634262339852,4.22864201529766,0.7880555863837201,0.27477997928828135
65,289,3.385186194133293,4.441434485079396,0.8940357057173984,0.3131467508025565
70,324,3.658219630913234,4.6238111864194895,0.9916527092833266,0.3490849037730398
75,361,3.9573958706520727,4.808551202875328,1.0975733734050497,0.3881480451107054
80,392,4.136704596568783,4.895272634238062,1.1819090675245327,0.42034658831383015
85,430,4.397623290787564,5.054143271621187,1.284685070643335,0.4590149290877127
90,461,4.57371560977939,5.117617737098039,1.3725394989058526,0.4930369197802268
95,498,4.783701715549349,5.237564984627288,1.4688589489008872,0.5301945146701903
100,537,5.040862727609305,5.365512918822738,1.5768092153615085,0.5715783724327737
105,573,5.197506695044813,5.45273479788744,1.6664466746795843,0.6071928053381053
110,618,5.51752839018472,5.613790091809578,1.79096535870445,0.6547982632611491
115,655,5.652051392617046,5.691324967340909,1.880368837553574,0.6910596757212962
120,694,5.82379188086648,5.77906353479901,1.978211734581062,0.730444285641919
125,732,5.949818523697814,5.851786610181082,2.067826012295451,0.7673946380392723
130,776,6.209688686196484,5.965036695033218,2.1857104794034843,0.8141125534592576
135,806,6.176931787471902,5.966219849323906,2.245449430646708,0.8417351277435706
140,823,5.954900580870146,5.874516350430917,2.2645324730475416,0.8559083039796048
145,855,5.990488765474821,5.892529347548824,2.3328857390359765,0.8866234146503477
150,880,5.911293656428203,5.8627195403948775,2.376969260261343,0.9094121461462836
155,909,5.918386224054578,5.860631256471283,2.436852691148813,0.9376147766010596
160,937,5.8929294671363355,5.85243596875938,2.489134917512186,0.9634450993984134
165,966,5.869508120119129,5.850803328890181,2.5405529946828036,0.9891323182813871
170,992,5.831968323538717,5.8316319183224525,2.587815496554826,1.0135691956683972
175,1018,5.781438926294454,5.813523226594996,2.6309911087464752,1.0367626586413767
180,1052,5.862878573178366,5.840861892323344,2.6998987647236463,1.0686918694963583
185,1077,5.793886611756076,5.818106543679456,2.737916094205866,1.0904719140789338
190,1105,5.778384294217582,5.812317954424647,2.7852221802091894,1.1154553851011237
195,1132,5.748130356478345,5.801701405052605,2.8284406561498123,1.1391924134974647
200,1162,5.752277624189087,5.806615805567014,2.877556211986444,1.165013995946619
205,1191,5.756093294682328,5.806415808421204,2.925859959090353,1.190692522904251
210,1218,5.727621646859429,5.796709689395079,2.9667538970083136,1.2140127261214864
215,1252,5.829355402897761,5.819985109197795,3.0334175914703927,1.2460679750605066
220,1287,5.890972742771821,5.846701489860424,3.092368013508781,1.2757295722501223
225,1316,5.915681198018994,5.845627225725698,3.14373265230292,1.3030107788848488
230,1349,5.95440519133741,5.8619876822439405,3.1975540175284904,1.33124887388723
235,1381,5.990032985102163,5.873399197004298,3.2504857938335463,1.3593305255512453
240,1406,5.926865435316176,5.855185358430259,3.2827084294155813,1.380608418202645
245,1437,5.932712952246301,5.862191501629046,3.327621308620115,1.4062005496907029
250,1471,6.002057395833854,5.880879361636504,3.385014680169419,1.4360830184765208
255,1498,5.953919544323213,5.871424393796225,3.4183194580770015,1.4580437210501318
260,1527,5.941612817056863,5.870003885373946,3.457685174896331,1.482098818791607
265,1555,5.930290081373091,5.864860196280698,3.4964002336473663,1.5060206476353375
270,1590,5.99982824701959,5.8858412180944795,3.5510039349404194,1.5353500979063759
275,1624,6.063806447926218,5.902430670425098,3.60470511643514,1.5645170585649801
280,1653,6.042713648957719,5.900563345591229,3.6409901492933083,1.5879822778331973
285,1684,6.039298454151987,5.905787765023777,3.6799811525459734,1.6124255266190906
290,1713,6.036156323246103,5.9039260406854455,3.7183276912008347,1.636733356091456
295,1745,6.065247657404379,5.912285263674527,3.762651835792111,1.663122577291915
