# time,value,norm
10,0,0
15,231,"46,2"
20,248,"49,6"
25,249,"49,8"
30,248,"49,6"
35,248,"49,6"
40,249,"49,8"
45,248,"49,6"
50,248,"49,6"
55,249,"49,8"
60,248,"49,6"
65,249,"49,8"
70,248,"49,6"
75,248,"49,6"
80,249,"49,8"
85,248,"49,6"
90,249,"49,8"
95,248,"49,6"
100,249,"49,8"
105,248,"49,6"
110,248,"49,6"
115,249,"49,8"
120,248,"49,6"
125,249,"49,8"
130,248,"49,6"
135,249,"49,8"
140,248,"49,6"
145,249,"49,8"
150,248,"49,6"
155,249,"49,8"
160,248,"49,6"
165,249,"49,8"
170,249,"49,8"
175,248,"49,6"
180,249,"49,8"
185,248,"49,6"
190,249,"49,8"
195,248,"49,6"
200,249,"49,8"
205,248,"49,6"
210,249,"49,8"
215,249,"49,8"
220,248,"49,6"
225,249,"49,8"
230,248,"49,6"
235,249,"49,8"
240,248,"49,6"
245,249,"49,8"
250,248,"49,6"
255,249,"49,8"
260,249,"49,8"
265,248,"49,6"
270,249,"49,8"
275,248,"49,6"
280,249,"49,8"
285,249,"49,8"
290,248,"49,6"
295,249,"49,8"
300,248,"49,6"
305,249,"49,8"
310,248,"49,6"
315,477,"95,4"
320,494,"98,8"
325,494,"98,8"
330,494,"98,8"
335,494,"98,8"
340,495,99
345,494,"98,8"
350,494,"98,8"
355,494,"98,8"
360,495,99
365,494,"98,8"
370,494,"98,8"
375,494,"98,8"
380,495,99
385,494,"98,8"
390,494,"98,8"
395,494,"98,8"
400,495,99
405,494,"98,8"
410,494,"98,8"
415,494,"98,8"
420,494,"98,8"
425,494,"98,8"
430,495,99
435,494,"98,8"
440,494,"98,8"
445,494,"98,8"
450,495,99
455,494,"98,8"
460,494,"98,8"
465,494,"98,8"
470,495,99
475,494,"98,8"
480,494,"98,8"
485,494,"98,8"
490,495,99
495,494,"98,8"
500,494,"98,8"
505,494,"98,8"
510,495,99
515,494,"98,8"
520,494,"98,8"
525,494,"98,8"
530,495,99
535,494,"98,8"
540,494,"98,8"
545,495,99
550,494,"98,8"
555,494,"98,8"
560,494,"98,8"
565,495,99
570,494,"98,8"
575,495,99
580,494,"98,8"
585,494,"98,8"
590,495,99
595,494,"98,8"
600,494,"98,8"
605,494,"98,8"
610,495,99
615,266,"53,2"
620,248,"49,6"
625,249,"49,8"
630,248,"49,6"
635,249,"49,8"
640,248,"49,6"
645,249,"49,8"
650,248,"49,6"
655,249,"49,8"
660,249,"49,8"
665,248,"49,6"
670,249,"49,8"
675,248,"49,6"
680,249,"49,8"
685,248,"49,6"
690,249,"49,8"
695,248,"49,6"
700,249,"49,8"
705,248,"49,6"
710,249,"49,8"
715,249,"49,8"
720,248,"49,6"
725,249,"49,8"
730,248,"49,6"
735,249,"49,8"
740,248,"49,6"
745,249,"49,8"
750,248,"49,6"
755,249,"49,8"
760,248,"49,6"
765,249,"49,8"
770,247,"49,4"
775,249,"49,8"
780,248,"49,6"
785,249,"49,8"
790,248,"49,6"
795,249,"49,8"
800,248,"49,6"
805,249,"49,8"
810,248,"49,6"
815,249,"49,8"
820,249,"49,8"
825,248,"49,6"
830,249,"49,8"
835,248,"49,6"
840,249,"49,8"
845,248,"49,6"
850,249,"49,8"
855,248,"49,6"
860,249,"49,8"
865,249,"49,8"
870,248,"49,6"
875,249,"49,8"
880,248,"49,6"
885,249,"49,8"
890,249,"49,8"
895,248,"49,6"
900,249,"49,8"
905,248,"49,6"
